id,student_id,student_mobility_id,done_date,notes,created_at
e0148dec-df4f-413c-9484-965980a233aa,4dca53bc-1217-4019-8969-deb495aebae2,086d5a78-0678-464b-81d5-6b3b53b553ec,2026-05-27,,2026-05-27 12:17:11.775927+00
0e9ae37a-6f83-4dea-8106-e50c33da6887,4dca53bc-1217-4019-8969-deb495aebae2,0d311a4f-2753-42df-8ec5-4c741a7b4ce4,2026-05-27,,2026-05-27 12:18:32.303528+00
5829f8e9-5f91-4edc-928a-d368341e6c48,4dca53bc-1217-4019-8969-deb495aebae2,a1c1b022-c029-45ad-9e44-0205679ef77e,2026-05-27,,2026-05-27 12:18:34.941516+00
3805ff52-eacc-4ea2-9a8a-a1818d4535c4,4dca53bc-1217-4019-8969-deb495aebae2,48aeee03-791c-4387-acc4-5b156645a296,2026-05-27,,2026-05-27 12:21:38.087017+00
6814a0fe-d828-44ee-92a4-d63d910f97f2,4dca53bc-1217-4019-8969-deb495aebae2,fc2ea886-07b2-443c-9d32-c98776b4c181,2026-05-27,,2026-05-27 12:33:00.790581+00
3ce81b4d-85bf-4ea8-85d4-9707d84ca637,4dca53bc-1217-4019-8969-deb495aebae2,0b5938c3-6b7a-496f-b5ec-b8009569d7f4,2026-05-28,,2026-05-28 10:59:11.634434+00
4867d2f5-8775-4b9a-90a9-18e16ec7f93c,4dca53bc-1217-4019-8969-deb495aebae2,a1c1b022-c029-45ad-9e44-0205679ef77e,2026-05-28,,2026-05-28 11:02:32.985086+00
4e99d943-87b4-4d7d-b9de-539630c06da1,4dca53bc-1217-4019-8969-deb495aebae2,0d311a4f-2753-42df-8ec5-4c741a7b4ce4,2026-05-28,,2026-05-28 11:04:06.093761+00
c8bb971d-c143-4c80-b857-0134db5158bf,4dca53bc-1217-4019-8969-deb495aebae2,0dd4406c-3de6-4054-9c4b-4987a8f4ed07,2026-05-28,,2026-05-28 12:06:53.881076+00
ae2fc801-31db-4f82-8f10-19b25980ca00,4dca53bc-1217-4019-8969-deb495aebae2,fc2ea886-07b2-443c-9d32-c98776b4c181,2026-05-28,,2026-05-28 12:07:02.042887+00
c16be05f-1c99-492c-a6f1-b25bc771c130,4dca53bc-1217-4019-8969-deb495aebae2,086d5a78-0678-464b-81d5-6b3b53b553ec,2026-05-28,,2026-05-28 12:11:43.205906+00
4f9dfd9d-658e-4c67-9930-7e03efa13c4e,4dca53bc-1217-4019-8969-deb495aebae2,48aeee03-791c-4387-acc4-5b156645a296,2026-05-28,,2026-05-28 12:14:39.587533+00
d42c4bd8-1066-47d9-9d36-a006e565be04,0c932874-b8b7-4542-a522-a5cffd9c66a9,5eac02a4-5494-44b0-a9fd-8634b3d46dca,2026-05-28,,2026-05-28 19:00:46.691369+00
a6c07ae2-d879-414b-adf2-7051859c7b55,0c932874-b8b7-4542-a522-a5cffd9c66a9,71f22fc5-e5e3-4969-b188-53fa44899c8e,2026-05-28,,2026-05-28 19:00:46.771876+00
67ca375e-56de-4b84-af5f-02b0643d6a35,0c932874-b8b7-4542-a522-a5cffd9c66a9,b531e6d0-d7c7-4de9-a454-c07af93098c9,2026-05-28,,2026-05-28 19:00:47.346648+00
